"status"
"Statement executed successfully."
"status"
"Statement executed successfully."
"status"
"Table EMP_TABLE successfully created."
"file","status","rows_parsed","rows_loaded","error_limit","errors_seen","first_error","first_error_line","first_error_character","first_error_column_name"
"s3://jr-bucket/employees03.csv","LOADED","5","5","1","0","","","",""
"s3://jr-bucket/employees02.csv","LOADED","5","5","1","0","","","",""
"s3://jr-bucket/employees05.csv","LOADED","5","5","1","0","","","",""
"s3://jr-bucket/employees01.csv","LOADED","5","5","1","0","","","",""
"s3://jr-bucket/employees04.csv","LOADED","5","5","1","0","","","",""
"status"
"Function LOCATION successfully created."
"EMAIL","STREETADDRESS","CITY"
"afeatherstona@sf_tuts.com","8172 Browning Street, Apt B","Calatrava"
"hanneslieb@sf_tuts.com","3248 Roth Park","Aleysk"
"bciccoc@sf_tuts.com","121 Victoria Junction","Sinegor'ye"
"bdurnalld@sf_tuts.com","26814 Weeping Birch Place","Sabadell"
"kmacconnale@sf_tuts.com","04 Valley Edge Court","Qingshu"
"ndorgan5@sf_tuts.com","7 Tomscot Way","Pampas Chico"
"cdevereu6@sf_tuts.co.au","535 Basil Terrace","Magapit"
"gglaserman7@sf_tuts.com","162 Debra Lane","Shiquanhe"
"icasemore8@sf_tuts.com","84 Holmberg Pass","Campina Grande"
"chovie9@sf_tuts.com","5 7th Pass","Miami"
"adavidovitsk@sf_tuts.com","7571 New Castle Circle","Meniko"
"vshermorel@sf_tuts.com","899 Merchant Center","Troitsk"
"rmattysm@sf_tuts.com","423 Lien Pass","Bayaguana"
"soluwatoyinn@sf_tuts.com","40637 Portage Avenue","Semënovskoye"
"gbassfordo@sf_tuts.co.uk","6 American Ash Circle","Kardítsa"
"lboissier@sf_tuts.com","3002 Ruskin Trail","Shikrpur"
"ihanks1@sf_tuts.com","2 Pankratz Hill","Monte-Carlo"
"alaudham2@sf_tuts.com","6948 Debs Park","Pramw"
"ecornner3@sf_tuts.com","177 Magdeline Avenue","Norrköping"
"hgoolding4@sf_tuts.com","450 Heath Trail","Osielsko"
"wsizeyf@sf_tuts.com","36761 American Lane","Taibao"
"dmcgowrang@sf_tuts.com","1856 Maple Lane","Banjar Bengkelgede"
"cbedderh@sf_tuts.co.au","71 Clyde Gallagher Place","Leninskoye"
"davoryi@sf_tuts.com","2 Holy Cross Pass","Wenlin"
"rtalmadgej@sf_tuts.co.uk","588 Chinook Street","Yawata"
